{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 load_cache.py:62(get_min_temperatures)
      268    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      457    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       12    0.000    0.000    0.000    0.000 enum.py:946(_get_mixins_)
       28    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       68    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 structures.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1774(_parse_hextet)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      192    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 _local.py:329(parent)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
